Crop_Type,Fertilizer_Type,Nitrogen_kg_ha,Irrigation_Method,Irrigation_Water_mm,Avg_Temperature_C,Rainfall_mm,Humidity_%,CO2_kg_ha,CH4_kg_ha,N2O_kg_ha,Total_GHG_kgCO2e,Scenario_Type,Intervention_Type
Soybean,Synthetic,232.99848545285127,Sprinkler,798.6584841970366,13.900466011060914,487.19342440344315,42.90418060840997,660.6599229949351,3.832290311184182,2.935502471534284,1631.2469172917563,Baseline,None
Soybean,Synthetic,141.2379380701312,Sprinkler,713.9862854050198,15.732908651861335,487.19342440344315,42.90418060840997,588.493009284715,2.4399460519382687,1.52059181663452,1102.6280219402586,Counterfactual,Reduced_Input
Soybean,Synthetic,161.06548581781598,Sprinkler,642.8811741899353,15.33241102970303,487.19342440344315,42.90418060840997,528.1322045947444,2.4062903808398084,2.17771935409919,1237.2498316372983,Counterfactual,Reduced_Input
Soybean,Synthetic,160.21986946426918,Sprinkler,617.58053782444,15.35653599527795,487.19342440344315,42.90418060840997,514.2854348546233,2.6935133179124535,1.7337959452939549,1098.294459500033,Counterfactual,Reduced_Input
Rice,Mixed,201.8862129753596,Flood,370.52412368729154,11.626289824631987,1438.6626447039998,88.28160165372796,315.1080458446248,15.0,2.1225076306513597,1322.61531977873,Baseline,None
Rice,Mixed,127.04732374822967,Flood,310.0718550903681,13.066442318371589,1438.6626447039998,88.28160165372796,260.56408206747267,9.103165563345655,1.5205187175573758,941.2577989832121,Counterfactual,Reduced_Input
Rice,Mixed,176.20550349229075,Flood,278.543731763136,13.288812108985969,1438.6626447039998,88.28160165372796,232.90254956965262,10.640130838029839,2.1771251204089155,1147.6891064022554,Counterfactual,Reduced_Input
Rice,Mixed,132.32759757851696,Flood,331.2177854897305,13.401422647993101,1438.6626447039998,88.28160165372796,281.570040412946,9.265477506155758,1.8094711449408267,1052.4293792592064,Counterfactual,Reduced_Input
Soybean,Synthetic,131.33258269081608,Drip,588.677289689482,16.783725794347397,1294.485010982315,57.83766633467947,482.2671019279888,1.5636968998990506,1.7478001370740237,1042.203965273524,Baseline,None
Soybean,Synthetic,110.40593000725052,Drip,420.8513569558402,18.770612730947914,1294.485010982315,57.83766633467947,361.04084970833225,0.9399451234248417,1.1217945599952186,718.8342566725285,Counterfactual,Reduced_Input
